2022-02-09 05:09:52.956 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2597, time: 40764214, acked_bytes: 1350
2022-02-09 05:09:52.968 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 2358, time: 40764215, acked_bytes: 1350
2022-02-09 05:09:52.981 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2158, time: 40764216, acked_bytes: 1350
2022-02-09 05:09:52.986 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 135, tbs_ : 2158, time: 40764217, acked_bytes: 1350
2022-02-09 05:09:52.998 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 2158, time: 40764218, acked_bytes: 1350
2022-02-09 05:09:53.010 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2158, time: 40764219, acked_bytes: 1350
2022-02-09 05:09:53.017 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2158, time: 40764220, acked_bytes: 1350
2022-02-09 05:09:53.028 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 2597, time: 40764221, acked_bytes: 1350
2022-02-09 05:09:53.035 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2597, time: 40764222, acked_bytes: 1350
2022-02-09 05:09:53.046 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 8, time: 40764223, acked_bytes: 1350
2022-02-09 05:09:53.059 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 8, time: 40764224, acked_bytes: 1350
2022-02-09 05:09:53.065 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 8, time: 40764225, acked_bytes: 1350
2022-02-09 05:09:53.077 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 8, time: 40764226, acked_bytes: 1350
2022-02-09 05:09:53.088 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 507, tbs_ : 8, time: 40764227, acked_bytes: 1350
2022-02-09 05:09:53.101 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 8, time: 40764228, acked_bytes: 1350
