No.,Time,Source,Destination,Protocol,Length,Info,cumsum,Bytes in flight,good_time
17086,13.682234,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13422639 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,89152,84688,
17087,13.682242,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13424027 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,90612,86076,
17088,13.68279,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13425415 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,92072,87464,
17090,13.682819,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13426803 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,93532,88852,
17091,13.683339,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13428191 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,94992,90240,
17092,13.683344,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13429579 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,96452,91628,
17093,13.683889,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13430967 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,97912,93016,
17095,13.683906,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13432355 Ack=157 Win=87808 Len=1388 TSval=29486888 TSecr=2885411088,99372,94404,
17096,13.684442,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13433743 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,100832,95792,
17097,13.684446,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13435131 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,102292,97180,
17098,13.684994,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13436519 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,103752,98568,
17100,13.685012,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13437907 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,105212,99956,
17101,13.685546,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13439295 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,106672,101344,
17102,13.68555,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13440683 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,108132,102732,
17103,13.686099,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13442071 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,109592,104120,
17105,13.686115,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13443459 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,111052,105508,
17106,13.686653,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13444847 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,112512,106896,
